Run 39: {'dice_score': tensor(0.8252, device='cuda:0'), 'mIoU': tensor(0.7407, device='cuda:0'), 'precision': 0.8082105334212278, 'recall': 0.9016618855845541}, Credible Intervals: {'dice_score': (0.8364491619985241, 0.8589798847012149), 'mIoU': (0.7584100173893773, 0.7847436264589052), 'precision': (0.8545947910033224, 0.876000960786243), 'recall': (0.8722212911059697, 0.8924219213933401)}
Run 40: {'dice_score': tensor(0.8484, device='cuda:0'), 'mIoU': tensor(0.7685, device='cuda:0'), 'precision': 0.8468406736915296, 'recall': 0.8985296817974544}, Credible Intervals: {'dice_score': (0.8366079077634043, 0.8588547486425673), 'mIoU': (0.7584971248304946, 0.784503001804622), 'precision': (0.8542528715699739, 0.8754209213244912), 'recall': (0.8727677677785886, 0.8926850638973266)}
Run 41: {'dice_score': tensor(0.8532, device='cuda:0'), 'mIoU': tensor(0.7754, device='cuda:0'), 'precision': 0.8947199165821076, 'recall': 0.8607965818792581}, Credible Intervals: {'dice_score': (0.8368804554786231, 0.8588469735629944), 'mIoU': (0.7587529015581723, 0.7844363432462892), 'precision': (0.8551344999787936, 0.8759956212514619), 'recall': (0.8723358540502992, 0.8920482480150684)}
Run 42: {'dice_score': tensor(0.8519, device='cuda:0'), 'mIoU': tensor(0.7748, device='cuda:0'), 'precision': 0.9182725867629051, 'recall': 0.8364956310018897}, Credible Intervals: {'dice_score': (0.8371117902785553, 0.8588100063927715), 'mIoU': (0.7589853028921559, 0.7843585102971978), 'precision': (0.8565537825072522, 0.877083898925951), 'recall': (0.8713277254288212, 0.8908823754068013)}
Run 43: {'dice_score': tensor(0.8399, device='cuda:0'), 'mIoU': tensor(0.7668, device='cuda:0'), 'precision': 0.8978198611840139, 'recall': 0.8456916724526343}, Credible Intervals: {'dice_score': (0.8370455232029131, 0.8585012726242868), 'mIoU': (0.759018738728718, 0.7840998997274087), 'precision': (0.8574172276254428, 0.8776610599164152), 'recall': (0.8705900823503041, 0.8899743778305108)}
Run 44: {'dice_score': tensor(0.8276, device='cuda:0'), 'mIoU': tensor(0.7521, device='cuda:0'), 'precision': 0.8583953683423117, 'recall': 0.8597742578441779}, Credible Intervals: {'dice_score': (0.8366959757415232, 0.8579331804623164), 'mIoU': (0.7587109058474795, 0.7835226731467774), 'precision': (0.8573183966699239, 0.8773446349486829), 'recall': (0.8702188173124163, 0.8894142892867981)}
Run 45: {'dice_score': tensor(0.8564, device='cuda:0'), 'mIoU': tensor(0.7822, device='cuda:0'), 'precision': 0.875222240621224, 'recall': 0.8814580245036632}, Credible Intervals: {'dice_score': (0.8370229574828114, 0.8580118089332622), 'mIoU': (0.759100015964376, 0.7836255850673728), 'precision': (0.8576108130569249, 0.8774026167220921), 'recall': (0.8703635214047867, 0.889342478905131)}
Run 46: {'dice_score': tensor(0.8427, device='cuda:0'), 'mIoU': tensor(0.7712, device='cuda:0'), 'precision': 0.892950436625658, 'recall': 0.8574935908885675}, Credible Intervals: {'dice_score': (0.837030995804535, 0.8577966272878728), 'mIoU': (0.7592300827017157, 0.7834880544894184), 'precision': (0.8582887814129734, 0.8778299637352269), 'recall': (0.8699649634466206, 0.8887697132732035)}
Run 47: {'dice_score': tensor(0.8336, device='cuda:0'), 'mIoU': tensor(0.7580, device='cuda:0'), 'precision': 0.8921460857987404, 'recall': 0.8523150424918912}, Credible Intervals: {'dice_score': (0.8368400230998532, 0.8574001473228887), 'mIoU': (0.7590697653861685, 0.7830790967751673), 'precision': (0.858921111310877, 0.8782217539963039), 'recall': (0.8694710782083865, 0.8881133921971784)}
Run 48: {'dice_score': tensor(0.8442, device='cuda:0'), 'mIoU': tensor(0.7672, device='cuda:0'), 'precision': 0.8620715842856269, 'recall': 0.8767702347518302}, Credible Intervals: {'dice_score': (0.8368853989792949, 0.8572338725442834), 'mIoU': (0.7591142650562516, 0.7828753693600636), 'precision': (0.8588824977291872, 0.8779897621846475), 'recall': (0.8695250176352707, 0.8879752731166417)}
