Run 27: {'dice_score': tensor(0.8314, device='cuda:0'), 'mIoU': tensor(0.7530, device='cuda:0'), 'precision': 0.8652692465484318, 'recall': 0.8555279207380542}, Credible Intervals: {'dice_score': (0.8248117895102108, 0.8525239417073512), 'mIoU': (0.7462856966352616, 0.7783664918762647), 'precision': (0.8502908454488403, 0.8761714468603587), 'recall': (0.8617088006632775, 0.8866841628037424)}
Run 28: {'dice_score': tensor(0.8423, device='cuda:0'), 'mIoU': tensor(0.7696, device='cuda:0'), 'precision': 0.8711367665391484, 'recall': 0.8790793922294651}, Credible Intervals: {'dice_score': (0.8251939514141124, 0.8523992479189915), 'mIoU': (0.7468389674333051, 0.7783309100804274), 'precision': (0.8508163401733189, 0.8762098655477073), 'recall': (0.8621145303077228, 0.8866267386521071)}
Run 29: {'dice_score': tensor(0.8433, device='cuda:0'), 'mIoU': tensor(0.7669, device='cuda:0'), 'precision': 0.8439397688258673, 'recall': 0.8938933194534279}, Credible Intervals: {'dice_score': (0.8255895594156614, 0.8523124972885019), 'mIoU': (0.7472651017407013, 0.7782035718919553), 'precision': (0.8503365153413347, 0.8753416251341458), 'recall': (0.8630270644308494, 0.8870588005451365)}
Run 30: {'dice_score': tensor(0.8319, device='cuda:0'), 'mIoU': tensor(0.7567, device='cuda:0'), 'precision': 0.8523706386779166, 'recall': 0.8662454074966404}, Credible Intervals: {'dice_score': (0.8255721792389361, 0.8518624904273016), 'mIoU': (0.7473209679108113, 0.7777491385381265), 'precision': (0.8501844087823813, 0.8747967496308828), 'recall': (0.8629236366596998, 0.8865764955696432)}
Run 31: {'dice_score': tensor(0.8570, device='cuda:0'), 'mIoU': tensor(0.7812, device='cuda:0'), 'precision': 0.9063340115702219, 'recall': 0.8540730373666979}, Credible Intervals: {'dice_score': (0.8263952453697868, 0.8522206351596415), 'mIoU': (0.7481807768295868, 0.7780888496603477), 'precision': (0.8518491530534874, 0.8759570725943934), 'recall': (0.862422670261118, 0.885745141565756)}
Run 32: {'dice_score': tensor(0.8544, device='cuda:0'), 'mIoU': tensor(0.7750, device='cuda:0'), 'precision': 0.8786974319942058, 'recall': 0.870691007238582}, Credible Intervals: {'dice_score': (0.8270846502798782, 0.8524739828919726), 'mIoU': (0.7487940534078239, 0.7782159560149069), 'precision': (0.852517278290944, 0.8762124754180588), 'recall': (0.8624957557417103, 0.8854602647265142)}
Run 33: {'dice_score': tensor(0.8318, device='cuda:0'), 'mIoU': tensor(0.7506, device='cuda:0'), 'precision': 0.8203995736688375, 'recall': 0.9061740602552891}, Credible Intervals: {'dice_score': (0.8270275133531442, 0.8520454230270424), 'mIoU': (0.748617975849904, 0.7776079589516438), 'precision': (0.8513187854332147, 0.8747495517111283), 'recall': (0.8636827117965574, 0.8862222909241863)}
Run 34: {'dice_score': tensor(0.8558, device='cuda:0'), 'mIoU': tensor(0.7831, device='cuda:0'), 'precision': 0.8886675002754838, 'recall': 0.8713528394942678}, Credible Intervals: {'dice_score': (0.8277046980419832, 0.8523229821851449), 'mIoU': (0.7494307478646125, 0.7779674323800484), 'precision': (0.8522718128901052, 0.8753026480154582), 'recall': (0.8637394426537779, 0.8859540633736647)}
Run 35: {'dice_score': tensor(0.8695, device='cuda:0'), 'mIoU': tensor(0.7926, device='cuda:0'), 'precision': 0.8792164302011918, 'recall': 0.8927954188094831}, Credible Intervals: {'dice_score': (0.828748278671115, 0.852961200906891), 'mIoU': (0.7504766088401428, 0.778569286685422), 'precision': (0.8528929690799216, 0.8755621858195082), 'recall': (0.8644303835399028, 0.8862876260171764)}
Run 36: {'dice_score': tensor(0.8457, device='cuda:0'), 'mIoU': tensor(0.7697, device='cuda:0'), 'precision': 0.8641619770300752, 'recall': 0.8843149061606623}, Credible Intervals: {'dice_score': (0.8290558973107987, 0.8529226507481763), 'mIoU': (0.7508195065999651, 0.7785139635624647), 'precision': (0.8530492447222757, 0.8754022745845925), 'recall': (0.8648405995159479, 0.8863744274251172)}
