Run 30: {'dice_score': tensor(0.8324, device='cuda:0'), 'mIoU': tensor(0.7592, device='cuda:0'), 'precision': 0.920827796459198, 'recall': 0.8289614816981495}, Credible Intervals: {'dice_score': (0.8272592325739987, 0.8534412669295659), 'mIoU': (0.7492935048842939, 0.7796359344719085), 'precision': (0.8528461573371007, 0.8772635346911092), 'recall': (0.8573255592224063, 0.8814083702667558)}
Run 31: {'dice_score': tensor(0.8056, device='cuda:0'), 'mIoU': tensor(0.7292, device='cuda:0'), 'precision': 0.9019859029081352, 'recall': 0.7942047412054039}, Credible Intervals: {'dice_score': (0.8263144975471988, 0.8521449807770122), 'mIoU': (0.7483786967219292, 0.7782783154251964), 'precision': (0.8542789533932701, 0.8782104057498789), 'recall': (0.8550063391154423, 0.8788845065677736)}
Run 32: {'dice_score': tensor(0.8495, device='cuda:0'), 'mIoU': tensor(0.7731, device='cuda:0'), 'precision': 0.8654479632100989, 'recall': 0.8733599811943695}, Credible Intervals: {'dice_score': (0.8268487496859148, 0.8522527655864254), 'mIoU': (0.7489238058449291, 0.7783402422685178), 'precision': (0.8544410977447637, 0.8779985342088317), 'recall': (0.8554015811624366, 0.8788896941619806)}
Run 33: {'dice_score': tensor(0.8372, device='cuda:0'), 'mIoU': tensor(0.7620, device='cuda:0'), 'precision': 0.8552284764552334, 'recall': 0.876970824726157}, Credible Intervals: {'dice_score': (0.826967692496637, 0.8519892673021306), 'mIoU': (0.7490964086723126, 0.7780665610756551), 'precision': (0.8542755686295045, 0.8774987131664245), 'recall': (0.8558888030209301, 0.8789972427249623)}
Run 34: {'dice_score': tensor(0.8434, device='cuda:0'), 'mIoU': tensor(0.7641, device='cuda:0'), 'precision': 0.8872747796958071, 'recall': 0.8522511251376368}, Credible Intervals: {'dice_score': (0.8272722620303808, 0.8519167002782747), 'mIoU': (0.749327345538481, 0.7778682602257486), 'precision': (0.8550982488531199, 0.8779326958243683), 'recall': (0.8555969781270498, 0.8783964548623715)}
Run 35: {'dice_score': tensor(0.8355, device='cuda:0'), 'mIoU': tensor(0.7551, device='cuda:0'), 'precision': 0.8264743781120544, 'recall': 0.8959210582123228}, Credible Intervals: {'dice_score': (0.8273300276153737, 0.8516276895636213), 'mIoU': (0.7492854273758442, 0.7774262198455825), 'precision': (0.8540786432299636, 0.876666787368079), 'recall': (0.8566157706702087, 0.8790286502113913)}
Run 36: {'dice_score': tensor(0.8326, device='cuda:0'), 'mIoU': tensor(0.7545, device='cuda:0'), 'precision': 0.8350033301487565, 'recall': 0.878455804376863}, Credible Intervals: {'dice_score': (0.8273020721691623, 0.851272173913724), 'mIoU': (0.7492306029597712, 0.7769883412551963), 'precision': (0.8533641139463464, 0.8756959567250094), 'recall': (0.8570776828855939, 0.8791568597864456)}
Run 37: {'dice_score': tensor(0.8242, device='cuda:0'), 'mIoU': tensor(0.7397, device='cuda:0'), 'precision': 0.784273615193054, 'recall': 0.925249470487468}, Credible Intervals: {'dice_score': (0.8270450217084981, 0.850713901804544), 'mIoU': (0.7487734387825745, 0.7761792625815607), 'precision': (0.8512748707367328, 0.8734515809639763), 'recall': (0.858824424225674, 0.8804951029497653)}
Run 38: {'dice_score': tensor(0.8276, device='cuda:0'), 'mIoU': tensor(0.7430, device='cuda:0'), 'precision': 0.8179837630044893, 'recall': 0.8939236560383237}, Credible Intervals: {'dice_score': (0.8268961871283148, 0.850269551523432), 'mIoU': (0.7484320310476196, 0.7754954379570684), 'precision': (0.8502157957017789, 0.8721772903555592), 'recall': (0.859627823319992, 0.8809674476146645)}
Run 39: {'dice_score': tensor(0.8499, device='cuda:0'), 'mIoU': tensor(0.7763, device='cuda:0'), 'precision': 0.8798195389238793, 'recall': 0.8684492088297848}, Credible Intervals: {'dice_score': (0.8273446364602324, 0.850400199858662), 'mIoU': (0.7489807806526936, 0.7756812219900149), 'precision': (0.8508499060567286, 0.8724972565845223), 'recall': (0.8597162023170795, 0.8807843759474886)}
Run 40: {'dice_score': tensor(0.8301, device='cuda:0'), 'mIoU': tensor(0.7536, device='cuda:0'), 'precision': 0.8573250356865776, 'recall': 0.8632969864694577}, Credible Intervals: {'dice_score': (0.827265002894211, 0.8500435451928539), 'mIoU': (0.7489251739025706, 0.7752985537420766), 'precision': (0.8508736366994563, 0.8722563137300103), 'recall': (0.8596688192209196, 0.8804844356567186)}
Run 41: {'dice_score': tensor(0.8122, device='cuda:0'), 'mIoU': tensor(0.7355, device='cuda:0'), 'precision': 0.8685462165045925, 'recall': 0.8157280587732125}, Credible Intervals: {'dice_score': (0.8267408379739862, 0.8492767316297505), 'mIoU': (0.7484265114078013, 0.7745010887389077), 'precision': (0.8511801304138362, 0.8722900485309399), 'recall': (0.8584274317036835, 0.8790771925954379)}
Run 42: {'dice_score': tensor(0.8323, device='cuda:0'), 'mIoU': tensor(0.7514, device='cuda:0'), 'precision': 0.8256353513058275, 'recall': 0.8779038117453456}, Credible Intervals: {'dice_score': (0.8267361947021512, 0.8490101830615573), 'mIoU': (0.7483383110297108, 0.7741098857753244), 'precision': (0.8504203866967391, 0.8713323526895168), 'recall': (0.8587757235305504, 0.8791642858676693)}
