Run 27: {'dice_score': tensor(0.8703, device='cuda:0'), 'mIoU': tensor(0.7980, device='cuda:0'), 'precision': 0.8762823940919473, 'recall': 0.9002587789402701}, Credible Intervals: {'dice_score': (0.8516738488072273, 0.8774477887766543), 'mIoU': (0.776811966345744, 0.8073928051241275), 'precision': (0.862040283601323, 0.8869885015052402), 'recall': (0.890076607016902, 0.9125285839294801)}
Run 28: {'dice_score': tensor(0.8588, device='cuda:0'), 'mIoU': tensor(0.7849, device='cuda:0'), 'precision': 0.9064640389382839, 'recall': 0.8605662955494411}, Credible Intervals: {'dice_score': (0.851693370126813, 0.8770204189484984), 'mIoU': (0.7768246555239101, 0.8068692161473081), 'precision': (0.8634517761217243, 0.8878559676183729), 'recall': (0.8887529925575095, 0.9109465131736453)}
Run 29: {'dice_score': tensor(0.8610, device='cuda:0'), 'mIoU': tensor(0.7866, device='cuda:0'), 'precision': 0.8938717375751759, 'recall': 0.8741742438123652}, Credible Intervals: {'dice_score': (0.8517931280833871, 0.8766899267787467), 'mIoU': (0.7769007364309829, 0.8064332119071764), 'precision': (0.8643167795609346, 0.8882456933467191), 'recall': (0.8880182274702559, 0.9099129368236263)}
Run 30: {'dice_score': tensor(0.8617, device='cuda:0'), 'mIoU': tensor(0.7862, device='cuda:0'), 'precision': 0.8449084148555994, 'recall': 0.9308861547708511}, Credible Intervals: {'dice_score': (0.8519144384094015, 0.8764003817049888), 'mIoU': (0.7769623394724264, 0.8060087265173759), 'precision': (0.863430193568411, 0.8870434779007054), 'recall': (0.8893148124068591, 0.9107416401955973)}
Run 31: {'dice_score': tensor(0.8645, device='cuda:0'), 'mIoU': tensor(0.7867, device='cuda:0'), 'precision': 0.8531597781926393, 'recall': 0.9196320077776909}, Credible Intervals: {'dice_score': (0.8521231396272895, 0.876211277312881), 'mIoU': (0.7770406460282294, 0.8056233459988441), 'precision': (0.8628819210204749, 0.8861692189261243), 'recall': (0.8901497495595836, 0.911169884198948)}
Run 32: {'dice_score': tensor(0.8598, device='cuda:0'), 'mIoU': tensor(0.7882, device='cuda:0'), 'precision': 0.8778945536212029, 'recall': 0.8826472068380922}, Credible Intervals: {'dice_score': (0.8521704142185867, 0.8758902959418758), 'mIoU': (0.7771647029286176, 0.8053029477183894), 'precision': (0.8631740515759342, 0.8860874009759625), 'recall': (0.8897263707779726, 0.9104688497680944)}
Run 33: {'dice_score': tensor(0.8948, device='cuda:0'), 'mIoU': tensor(0.8277, device='cuda:0'), 'precision': 0.9125707125663758, 'recall': 0.9073393911123275}, Credible Intervals: {'dice_score': (0.8533167830185624, 0.8766076200142567), 'mIoU': (0.778510714999583, 0.8061658694525734), 'precision': (0.8645413854172905, 0.8870167564264874), 'recall': (0.8901133654939573, 0.9105202398762073)}
Run 34: {'dice_score': tensor(0.8536, device='cuda:0'), 'mIoU': tensor(0.7789, device='cuda:0'), 'precision': 0.8337297713756562, 'recall': 0.9221367122232914}, Credible Intervals: {'dice_score': (0.8531426671838287, 0.8761133165800443), 'mIoU': (0.778309834917006, 0.8055751383907936), 'precision': (0.8634248877580801, 0.8856626015522633), 'recall': (0.890933968462057, 0.910981698553011)}
Run 35: {'dice_score': tensor(0.8475, device='cuda:0'), 'mIoU': tensor(0.7665, device='cuda:0'), 'precision': 0.8335766312666237, 'recall': 0.9142794827744365}, Credible Intervals: {'dice_score': (0.8528009976110392, 0.8754764811110491), 'mIoU': (0.7777632312115028, 0.8046713878450336), 'precision': (0.862371558033004, 0.8843775605364247), 'recall': (0.8914748862845882, 0.9112011771581322)}
Run 36: {'dice_score': tensor(0.8702, device='cuda:0'), 'mIoU': tensor(0.8044, device='cuda:0'), 'precision': 0.9072019390761852, 'recall': 0.8876265075943698}, Credible Intervals: {'dice_score': (0.8531321465769212, 0.8754796016366448), 'mIoU': (0.7783254225403311, 0.8048406700814075), 'precision': (0.8634982764603014, 0.8851281152128054), 'recall': (0.8912151950379814, 0.910699944807492)}
Run 37: {'dice_score': tensor(0.8580, device='cuda:0'), 'mIoU': tensor(0.7901, device='cuda:0'), 'precision': 0.879465591050745, 'recall': 0.8839616840252078}, Credible Intervals: {'dice_score': (0.8531084118026907, 0.8751641469367188), 'mIoU': (0.7784639601711331, 0.8046208834316816), 'precision': (0.863789239476388, 0.8851153717735883), 'recall': (0.89086862106818, 0.9101287923806323)}
Run 38: {'dice_score': tensor(0.8670, device='cuda:0'), 'mIoU': tensor(0.7927, device='cuda:0'), 'precision': 0.8746224939914893, 'recall': 0.8993606992171503}, Credible Intervals: {'dice_score': (0.8533313880279402, 0.8750905823466082), 'mIoU': (0.7786685881534767, 0.8044781588844981), 'precision': (0.863934772740867, 0.8849787908181662), 'recall': (0.8909646001185745, 0.9099729835699859)}
Run 39: {'dice_score': tensor(0.8928, device='cuda:0'), 'mIoU': tensor(0.8246, device='cuda:0'), 'precision': 0.9102025666832924, 'recall': 0.9079032284126974}, Credible Intervals: {'dice_score': (0.8542269935921124, 0.8756570703248947), 'mIoU': (0.7797003487576193, 0.8051391139316028), 'precision': (0.8650184867180812, 0.8857263693066936), 'recall': (0.8912853296359208, 0.9100331307204338)}
