Run 27: {'dice_score': tensor(0.8487, device='cuda:0'), 'mIoU': tensor(0.7774, device='cuda:0'), 'precision': 0.8695887487605576, 'recall': 0.8653147211960182}, Credible Intervals: {'dice_score': (0.8247219039694261, 0.8524400985240663), 'mIoU': (0.7462288348540654, 0.7783122166739085), 'precision': (0.8416205576835739, 0.8681521040530047), 'recall': (0.8683710504791216, 0.8927909861218882)}
Run 28: {'dice_score': tensor(0.8527, device='cuda:0'), 'mIoU': tensor(0.7811, device='cuda:0'), 'precision': 0.8721531767292763, 'recall': 0.8817370033415481}, Credible Intervals: {'dice_score': (0.8254923610557403, 0.8526779153574652), 'mIoU': (0.7472028557795652, 0.7786784990218621), 'precision': (0.8424977988341791, 0.8685065064243543), 'recall': (0.8686333347708779, 0.8926111680693986)}
Run 29: {'dice_score': tensor(0.8203, device='cuda:0'), 'mIoU': tensor(0.7415, device='cuda:0'), 'precision': 0.8467114123769709, 'recall': 0.8675320315466619}, Credible Intervals: {'dice_score': (0.8250609019221329, 0.8518181797006156), 'mIoU': (0.7467217569626865, 0.7776841135828234), 'precision': (0.8424094802665233, 0.8679893895923254), 'recall': (0.868371107347544, 0.8919718418051478)}
Run 30: {'dice_score': tensor(0.8372, device='cuda:0'), 'mIoU': tensor(0.7619, device='cuda:0'), 'precision': 0.8655381319352401, 'recall': 0.8566991098728874}, Credible Intervals: {'dice_score': (0.8252431007911054, 0.8515544237073762), 'mIoU': (0.7469696826763501, 0.7774130336491617), 'precision': (0.8429805200637472, 0.8681067111727356), 'recall': (0.8677546980726623, 0.8910254638969277)}
Run 31: {'dice_score': tensor(0.8131, device='cuda:0'), 'mIoU': tensor(0.7381, device='cuda:0'), 'precision': 0.8354513856689607, 'recall': 0.863423340356244}, Credible Intervals: {'dice_score': (0.8246146907393692, 0.8505519072489878), 'mIoU': (0.746422565896919, 0.7764053714867032), 'precision': (0.8425139185409327, 0.867278674010592), 'recall': (0.8674078108600549, 0.8903435389434299)}
Run 32: {'dice_score': tensor(0.8395, device='cuda:0'), 'mIoU': tensor(0.7627, device='cuda:0'), 'precision': 0.8473805336012221, 'recall': 0.8850066235767103}, Credible Intervals: {'dice_score': (0.8248815066191604, 0.8504072808983979), 'mIoU': (0.7466987434654202, 0.7762084235305282), 'precision': (0.8424656625395636, 0.8668577728584116), 'recall': (0.8677869593732964, 0.8903471160330841)}
Run 33: {'dice_score': tensor(0.8481, device='cuda:0'), 'mIoU': tensor(0.7699, device='cuda:0'), 'precision': 0.8264097498357296, 'recall': 0.9249153491854668}, Credible Intervals: {'dice_score': (0.8254027816266906, 0.8505198370886111), 'mIoU': (0.7471860487950113, 0.7762350990294723), 'precision': (0.8417669789729724, 0.8658462407029947), 'recall': (0.8694017747933556, 0.8915077174852346)}
Run 34: {'dice_score': tensor(0.8403, device='cuda:0'), 'mIoU': tensor(0.7670, device='cuda:0'), 'precision': 0.897526777535677, 'recall': 0.8567187469930745}, Credible Intervals: {'dice_score': (0.825660424830313, 0.8504018374877816), 'mIoU': (0.7475586859617821, 0.7761716154559656), 'precision': (0.8432728110282153, 0.8669092465459294), 'recall': (0.8688402751852198, 0.8906745850336627)}
Run 35: {'dice_score': tensor(0.8350, device='cuda:0'), 'mIoU': tensor(0.7558, device='cuda:0'), 'precision': 0.8328717462093332, 'recall': 0.8987962862954832}, Credible Intervals: {'dice_score': (0.8257478818183822, 0.8501393486528914), 'mIoU': (0.7475885949110713, 0.7757974286643118), 'precision': (0.8427871618339564, 0.8661266390343367), 'recall': (0.8695613876789897, 0.8910402034493202)}
Run 36: {'dice_score': tensor(0.8471, device='cuda:0'), 'mIoU': tensor(0.7709, device='cuda:0'), 'precision': 0.8525447343379539, 'recall': 0.8907813304768301}, Credible Intervals: {'dice_score': (0.8261783958015751, 0.8502142234805202), 'mIoU': (0.7480449908671583, 0.7758496187894688), 'precision': (0.8428952193830704, 0.8659124697428277), 'recall': (0.8700131651611323, 0.8911700536950773)}
Run 37: {'dice_score': tensor(0.8617, device='cuda:0'), 'mIoU': tensor(0.7901, device='cuda:0'), 'precision': 0.9016929184069847, 'recall': 0.869087456926895}, Credible Intervals: {'dice_score': (0.8269941324063487, 0.8506659514375472), 'mIoU': (0.749009199608589, 0.7764058209617615), 'precision': (0.8443697532103898, 0.8669914188449135), 'recall': (0.869834372403558, 0.8907276586953141)}
Run 38: {'dice_score': tensor(0.8236, device='cuda:0'), 'mIoU': tensor(0.7431, device='cuda:0'), 'precision': 0.857952283675911, 'recall': 0.8604728150845863}, Credible Intervals: {'dice_score': (0.8267398158488355, 0.8501220779923404), 'mIoU': (0.7486642992702379, 0.7757187817795476), 'precision': (0.8445809008663949, 0.8668997159825347), 'recall': (0.8694322672219847, 0.8900882984706164)}
Run 39: {'dice_score': tensor(0.8107, device='cuda:0'), 'mIoU': tensor(0.7364, device='cuda:0'), 'precision': 0.8733670019155944, 'recall': 0.8358666263139719}, Credible Intervals: {'dice_score': (0.8261588537073558, 0.8492809672980288), 'mIoU': (0.748164963823311, 0.7748963301544657), 'precision': (0.8451905032741935, 0.8671931486672841), 'recall': (0.8683997351383986, 0.8888721230304649)}
Run 40: {'dice_score': tensor(0.8446, device='cuda:0'), 'mIoU': tensor(0.7642, device='cuda:0'), 'precision': 0.8253016272559762, 'recall': 0.9280162906646728}, Credible Intervals: {'dice_score': (0.8264809005728819, 0.849302904520875), 'mIoU': (0.7484019528927222, 0.7747949134300449), 'precision': (0.8445328607355979, 0.8663077871627961), 'recall': (0.8698060518837606, 0.8899324265961466)}
Run 41: {'dice_score': tensor(0.8567, device='cuda:0'), 'mIoU': tensor(0.7804, device='cuda:0'), 'precision': 0.8744244608381178, 'recall': 0.8858860928670861}, Credible Intervals: {'dice_score': (0.8270924069835828, 0.8496090563281151), 'mIoU': (0.7490297836823121, 0.7750820678896886), 'precision': (0.8451436310901284, 0.8666231714557289), 'recall': (0.8700811100260885, 0.8899505983324746)}
Run 42: {'dice_score': tensor(0.8605, device='cuda:0'), 'mIoU': tensor(0.7896, device='cuda:0'), 'precision': 0.8748853887737349, 'recall': 0.8859371102893151}, Credible Intervals: {'dice_score': (0.82776904573864, 0.8499870995789075), 'mIoU': (0.7498525717421782, 0.7755687886425039), 'precision': (0.8457379056093564, 0.8669329183035872), 'recall': (0.8703456646910044, 0.8899677501489708)}
Run 43: {'dice_score': tensor(0.8452, device='cuda:0'), 'mIoU': tensor(0.7683, device='cuda:0'), 'precision': 0.8637298419630496, 'recall': 0.8794248485789546}, Credible Intervals: {'dice_score': (0.8280501743141468, 0.8500006677764395), 'mIoU': (0.7501340708161828, 0.7755450998645352), 'precision': (0.8460386587154806, 0.8669757838347762), 'recall': (0.8704425617058146, 0.8898368468697544)}
Run 44: {'dice_score': tensor(0.8527, device='cuda:0'), 'mIoU': tensor(0.7797, device='cuda:0'), 'precision': 0.8612474942326668, 'recall': 0.8897722808004714}, Credible Intervals: {'dice_score': (0.8284955053575714, 0.850178524030745), 'mIoU': (0.7506686145139425, 0.7757755692148338), 'precision': (0.8462689612979213, 0.8669607603410339), 'recall': (0.8707794564972617, 0.8899374119880851)}
Run 45: {'dice_score': tensor(0.8471, device='cuda:0'), 'mIoU': tensor(0.7734, device='cuda:0'), 'precision': 0.8732452031431869, 'recall': 0.8656459532038666}, Credible Intervals: {'dice_score': (0.8287937114072151, 0.850225513007921), 'mIoU': (0.7510388870675395, 0.7758574393696901), 'precision': (0.8467645995921821, 0.8672036117588381), 'recall': (0.8705484091404435, 0.8895151391776258)}
Run 46: {'dice_score': tensor(0.8711, device='cuda:0'), 'mIoU': tensor(0.7956, device='cuda:0'), 'precision': 0.8768633463978768, 'recall': 0.9045341473817825}, Credible Intervals: {'dice_score': (0.8296151207027437, 0.8507762764797063), 'mIoU': (0.7518859350890976, 0.7764084318256104), 'precision': (0.847320640597659, 0.867511156778942), 'recall': (0.8712020908401548, 0.889925879310233)}
Run 47: {'dice_score': tensor(0.8357, device='cuda:0'), 'mIoU': tensor(0.7610, device='cuda:0'), 'precision': 0.8848060277182199, 'recall': 0.8575255215552993}, Credible Intervals: {'dice_score': (0.8296291172734807, 0.8505694199307126), 'mIoU': (0.7519494196815644, 0.776212286839645), 'precision': (0.8480277780826803, 0.8679685939193622), 'recall': (0.8707958151284889, 0.8893526086777177)}
Run 48: {'dice_score': tensor(0.8373, device='cuda:0'), 'mIoU': tensor(0.7604, device='cuda:0'), 'precision': 0.8606262991284817, 'recall': 0.8803787922105664}, Credible Intervals: {'dice_score': (0.829678691870173, 0.8504031197206842), 'mIoU': (0.7519990608589898, 0.7760108072458544), 'precision': (0.8481883032881559, 0.8679174867160335), 'recall': (0.8708993304309208, 0.889261776001669)}
Run 49: {'dice_score': tensor(0.8434, device='cuda:0'), 'mIoU': tensor(0.7712, device='cuda:0'), 'precision': 0.8747055771508597, 'recall': 0.8685509205761722}, Credible Intervals: {'dice_score': (0.8298560246716611, 0.8503645969110358), 'mIoU': (0.7522723273704318, 0.776032905710682), 'precision': (0.8486386684479894, 0.8681462850175701), 'recall': (0.8707504982028154, 0.88894038662379)}
Run 50: {'dice_score': tensor(0.8345, device='cuda:0'), 'mIoU': tensor(0.7575, device='cuda:0'), 'precision': 0.8992166158672279, 'recall': 0.8394913603589782}, Credible Intervals: {'dice_score': (0.8298447887156901, 0.8501532698758877), 'mIoU': (0.7522569521729714, 0.7757835400215096), 'precision': (0.8495757108779751, 0.868840939066138), 'recall': (0.8700091996369831, 0.8880687799311493)}
Run 51: {'dice_score': tensor(0.8502, device='cuda:0'), 'mIoU': tensor(0.7697, device='cuda:0'), 'precision': 0.8554930627444367, 'recall': 0.890254489790032}, Credible Intervals: {'dice_score': (0.830150111118759, 0.8502485787617016), 'mIoU': (0.7524853886320054, 0.775776633058505), 'precision': (0.8495956054233966, 0.8686754608533467), 'recall': (0.8703247667688033, 0.8881927024725105)}
Run 52: {'dice_score': tensor(0.8371, device='cuda:0'), 'mIoU': tensor(0.7631, device='cuda:0'), 'precision': 0.8883031842265681, 'recall': 0.8537906886508263}, Credible Intervals: {'dice_score': (0.8301863773003111, 0.850093915935191), 'mIoU': (0.7525769275673563, 0.7756440493830665), 'precision': (0.8502639000926746, 0.869128160993275), 'recall': (0.869906048814546, 0.8876326148369231)}
Run 53: {'dice_score': tensor(0.8535, device='cuda:0'), 'mIoU': tensor(0.7780, device='cuda:0'), 'precision': 0.8771601889392477, 'recall': 0.8782671362267233}, Credible Intervals: {'dice_score': (0.8305388096549041, 0.8502452988379958), 'mIoU': (0.7529528179274805, 0.7757927056859657), 'precision': (0.850691636521158, 0.8693589670461326), 'recall': (0.8699801482051123, 0.8875395801174297)}
Run 54: {'dice_score': tensor(0.8118, device='cuda:0'), 'mIoU': tensor(0.7250, device='cuda:0'), 'precision': 0.7825892418622971, 'recall': 0.930713695883751}, Credible Intervals: {'dice_score': (0.8300884599268561, 0.8496380792341816), 'mIoU': (0.752318351623421, 0.7749701533424898), 'precision': (0.8493058293183545, 0.8678788403661842), 'recall': (0.871052969856455, 0.8883895892585866)}
Run 55: {'dice_score': tensor(0.8294, device='cuda:0'), 'mIoU': tensor(0.7455, device='cuda:0'), 'precision': 0.8321512887626886, 'recall': 0.8942574738071657}, Credible Intervals: {'dice_score': (0.8299820317817139, 0.8493627035876768), 'mIoU': (0.752086784717922, 0.7745427166861062), 'precision': (0.8488970468863184, 0.8673268119141295), 'recall': (0.8714042675451347, 0.8885665078278492)}
Run 56: {'dice_score': tensor(0.8445, device='cuda:0'), 'mIoU': tensor(0.7698, device='cuda:0'), 'precision': 0.8390850082526887, 'recall': 0.8946373038590798}, Credible Intervals: {'dice_score': (0.8301579238591836, 0.8493607784813321), 'mIoU': (0.7523041782286715, 0.7745551607271322), 'precision': (0.848630916656052, 0.8669138827852235), 'recall': (0.8717505798946837, 0.8887431158634768)}
Run 57: {'dice_score': tensor(0.8760, device='cuda:0'), 'mIoU': tensor(0.8034, device='cuda:0'), 'precision': 0.8717391447263724, 'recall': 0.913751998554299}, Credible Intervals: {'dice_score': (0.830892573468017, 0.8498958452900481), 'mIoU': (0.7531142685524711, 0.7751467688951086), 'precision': (0.8489627300866732, 0.8670717972123207), 'recall': (0.8724306316527741, 0.8892378820329907)}
Run 58: {'dice_score': tensor(0.8512, device='cuda:0'), 'mIoU': tensor(0.7787, device='cuda:0'), 'precision': 0.8654320916179717, 'recall': 0.8856716315553881}, Credible Intervals: {'dice_score': (0.8311661451912242, 0.8499961370018312), 'mIoU': (0.7534654561453047, 0.7752992901475793), 'precision': (0.8491721485936872, 0.8671178920289142), 'recall': (0.8725891425788465, 0.8892460663788317)}
Run 59: {'dice_score': tensor(0.8567, device='cuda:0'), 'mIoU': tensor(0.7845, device='cuda:0'), 'precision': 0.8682800445921169, 'recall': 0.8892492653357571}, Credible Intervals: {'dice_score': (0.8315250860034855, 0.850182063788519), 'mIoU': (0.7539045381731575, 0.7755418600964099), 'precision': (0.8494245787024771, 0.8672087965468067), 'recall': (0.8728052712441077, 0.8893121817147545)}
Run 60: {'dice_score': tensor(0.8561, device='cuda:0'), 'mIoU': tensor(0.7797, device='cuda:0'), 'precision': 0.8766484537805787, 'recall': 0.8848427498564968}, Credible Intervals: {'dice_score': (0.8318636876400664, 0.8503527045708515), 'mIoU': (0.7542491966767293, 0.7756976931035083), 'precision': (0.8498121731628425, 0.8674318656469583), 'recall': (0.8729391336278676, 0.8893043726857898)}
Run 61: {'dice_score': tensor(0.8398, device='cuda:0'), 'mIoU': tensor(0.7664, device='cuda:0'), 'precision': 0.870942762941122, 'recall': 0.8666212604835987}, Credible Intervals: {'dice_score': (0.8319181594891578, 0.8502561701347638), 'mIoU': (0.7543613863373622, 0.7756327577421127), 'precision': (0.8500916580984252, 0.8675560827821813), 'recall': (0.8727617917712255, 0.8890065928710003)}
Run 62: {'dice_score': tensor(0.8354, device='cuda:0'), 'mIoU': tensor(0.7539, device='cuda:0'), 'precision': 0.8825297472822001, 'recall': 0.8369073809834251}, Credible Intervals: {'dice_score': (0.8318986358372703, 0.8500925888345497), 'mIoU': (0.7542660873547239, 0.7753709191057667), 'precision': (0.850554205406353, 0.8678577620974619), 'recall': (0.8720978799979975, 0.8882527892460265)}
